Category,Stakeholder,Product,Question,Answer
Cards,Cards Team,World Elite Dual Chip Mastercard Lifestyle Benefits,World Elite Dual Chip Mastercard Lifestyle Benefits:,"1- A unique European shopping experience with Global Blue VIP services, which include exclusive privileges to facilitate the VAT refund process. Global Blue VIP
2- Enjoy a luxury shopping experience and special discounts from The Bicester Village Shopping Collection in 9 villages around Europe. The Bicester Villages Shopping Collection
-3 Free MyUS Premium membership and shipping discount up to 30%. MyUs
4- Enjoy up to 10% discount on over 700 boutiques and international brands from Farfetch.com. FARFETCH
5- Get up to 20% off grocery or food orders twice a month on the Talabat app. App Store or Google Play Store
6- Sharia compliant credit card with no profit added.
7- Exclusive offers and discounts through Warba Rewards Program
8- Ability to issue a supplementary card for any family member (ages 15+)
9- Free SMS for both Local and International transactions
10- Monthly card E-statement sent to your personal e-mail
11- Free card issuance and renewal when issued against deposit."
Cards,Cards Team,World Elite Dual Chip Mastercard Travel Benefits,World Elite Dual Chip Mastercard Travel Benefits:,"1- MasterCard Concierge services is to ensure an exceptional luxurious travel experience 24/7 by events, trips, transportations, hotels, fine dine in reservations and much more. For more information, please contact the mentioned numbers.
2- MasterCard Concierge provides exclusive 15% discount at Airport services for a smooth journey at more than 470 airports around the world that includes priority check-in & boarding, assistance with customs clearance and assistance to the boarding gate. For more information, please contact the mentioned numbers. MasterCard Concierge Contact: Local: +965 22287885 International: +1-6692108218
3- Unlimited complimentary access for you to over 1100 LoungeKey lounges in more than 450 cities in over 135 countries worldwide. For more information download LoungeKey app or visit Our lounges (loungekey.com).
4- Issue travel insurance letter instantly for you, your spouse, and your children with coverage up to USD 500,000. For more information visit mcpeaceofmind.com.
5- Travel inconvenience coverage up to USD 7,500 in case of lost baggage or trip delay & cancelation. For more information visit mcpeaceofmind.com.
6- Accident and car damage insurance with coverage up to 50,000 US dollars. For more information visit mcpeaceofmind.com.
7- Enjoy up to 10% cashback with Booking.com. www.booking.com/mastercardmea
8- Enjoy 10% discount on any international roundtrip airfare from Cleartrip. cleartrip.com/mastercard
9- Exclusive discounts and promotions from award-winning Soneva luxury resorts through World Elite Concierge.
-10 Immediate upgrade to Discovery Titanium membership in the Global Hotel Alliance program, which includes Kempinski Resorts, Anantara and other luxury resorts.
11- Enjoy 10% discount at over 2,500 OneFineStay luxury hotel apartments. onefinestay.com
12- Complimentary Gold Plus Rewards Five Star membership from Hertz car rental for by passing queues and a free car upgrade. hertz.com/worldelite
13- Complimentary Avis President’s Club membership & enjoy up to 35% off your next car rental with Avis. avisworld.com/mastercardmea
14- Enjoy up to 10% discount with RentalCar.com. Rentalcars.com
15- Get 20% off on 3 rides every month with Careem. Download Careem from the App Store or Google Play Store.
16- Easily apply and book visa appointments online through Fulfill Solutions. fulfillsolutions.com/mastercard"
Cards,Cards Team,World Elite Mastercard benefits,World Elite Mastercard benefits:,"1- Unlimited access with a companion to over 1,000 lounges.
2- Comprehensive medical travel insurance for the cardholder and family member up to USD 500,000
3- Exclusive World Elite Global Concierge service"
Cards,Cards Team,World Elite Mastercard Lifestyle Benefits,World Elite Mastercard Lifestyle Benefits:,"1- A unique European shopping experience with Global Blue VIP services, which include exclusive privileges to facilitate the VAT refund process. Global Blue VIP
2- Enjoy a luxury shopping experience and special discounts from The Bicester Village Shopping Collection in 9 villages around Europe. The Bicester Villages Shopping Collection
3- Free MyUS Premium membership and shipping discount up to 30%. MyUs
4- Enjoy up to 10% discount on over 700 boutiques and international brands from Farfetch.com. FARFETCH
5- Get up to 20% off grocery or food orders twice a month on the Talabat app. App Store or Google Play Store
6- Sharia compliant credit card with no profit added.
7- Exclusive offers and discounts through Warba Rewards Program
8- Ability to issue a supplementary card for any family member (ages 15+)
9- Free SMS for both Local and International transactions
10- Monthly card E-statement sent to your personal e-mail
11- Free card issuance and renewal when issued against deposit.
Also to avail the card benefits and offers https://www.priceless.com/benefits-mea"
Cards,Cards Team,World Elite Mastercard Travel Benefits,World Elite Mastercard Travel Benefits:,"1- MasterCard Concierge services is to ensure an exceptional luxurious travel experience 24/7 by events, trips, transportations, hotels, fine dine in reservations and much more. For more information, please contact the mentioned numbers.
2- MasterCard Concierge provides exclusive 15% discount at Airport services for a smooth journey at more than 470 airports around the world that includes priority check-in & boarding, assistance with customs clearance and assistance to the boarding gate. For more information, please contact the mentioned numbers. MasterCard Concierge Contact: Local: +965 22287885 International: +1-6692108218
3- Unlimited complimentary access for you to over 1100 LoungeKey lounges in more than 450 cities in over 135 countries worldwide. For more information download LoungeKey app or visit Our lounges (loungekey.com).
4- Issue travel insurance letter instantly for you, your spouse, and your children with coverage up to USD 500,000. For more information visit mcpeaceofmind.com.
5- Travel inconvenience coverage up to USD 7,500 in case of lost baggage or trip delay & cancelation. For more information visit mcpeaceofmind.com.
6- Accident and car damage insurance with coverage up to 50,000 US dollars. For more information visit mcpeaceofmind.com.
7- Enjoy up to 10% cashback with Booking.com. www.booking.com/mastercardmea
8- Enjoy 10% discount on any international roundtrip airfare from Cleartrip. cleartrip.com/mastercard
9- Exclusive discounts and promotions from award-winning Soneva luxury resorts through World Elite Concierge.
10- Immediate upgrade to Discovery Titanium membership in the Global Hotel Alliance program, which includes Kempinski Resorts, Anantara and other luxury resorts.
11- Enjoy 10% discount at over 2,500 OneFineStay luxury hotel apartments. onefinestay.com
12- Complimentary Gold Plus Rewards Five Star membership from Hertz car rental for by passing queues and a free car upgrade. hertz.com/worldelite
13- Complimentary Avis President’s Club membership & enjoy up to 35% off your next car rental with Avis. avisworld.com/mastercardmea
14- Enjoy up to 10% discount with RentalCar.com. Rentalcars.com
15- Get 20% off on 3 rides every month with Careem. Download Careem from the App Store or Google Play Store.
16- Easily apply and book visa appointments online through Fulfill Solutions. fulfillsolutions.com/mastercard"
Cards,Cards Team,World Mastercard Benefits,World Mastercard Benefits:,"1- Access to over 1000 airport lounges worldwide
2- Free travel insurance for spouse and kids
3- up to 10% cashback from Booking.com"
Cards,Cards Team,World Mastercard Travel Benefits,World Mastercard Travel Benefits:,"1- Unlimited complimentary access for you to over 1100 LoungeKey lounges in more than 450 cities in over 135 countries worldwide. For more information download LoungeKey app or visit Our lounges (loungekey.com).
2- Issue travel insurance letter instantly for you, your spouse, and your children with coverage up to USD 500,000. For more information visit mcpeaceofmind.com.
3- Travel inconvenience coverage up to USD 7,500 in case of lost baggage or trip delay & cancelation. For more information visit mcpeaceofmind.com.
4- Enjoy up to 10% cashback with Booking.com. www.booking.com/mastercardmea
5- Enjoy 10% discount on any international roundtrip airfare from Cleartrip. cleartrip.com/mastercard
6- Enjoy 10% discount at over 2,500 OneFineStay luxury hotel apartments. onefinestay.com
7- Complimentary Gold Plus Rewards Five Star membership from Hertz car rental for by passing queues and a free car upgrade. hertz.com/mcworld
8- Complimentary Avis President’s Club membership & enjoy up to 35% off your next car rental with Avis. avisworld.com/mastercardmea
9- Enjoy up to 10% discount with RentalCar.com. Rentalcars.com
10- Get 20% off on 3 rides every month with Careem. Download Careem from the App Store or Google Play Store.
11- Easily apply and book visa appointments online through Fulfill Solutions. fulfillsolutions.com/mastercard"
Cards,Cards Team,World Mastercard Lifestyle Benefits,World Mastercard Lifestyle Benefits:,"1- A unique European shopping experience with Global Blue VIP services, which include exclusive privileges to facilitate the VAT refund process. Global Blue VIP
2- Enjoy a luxury shopping experience and special discounts from The Bicester Village Shopping Collection in 9 villages around Europe. The Bicester Villages Shopping Collection
3- Free MyUS Premium membership and shipping discount up to 30%. MyUs
4- Enjoy up to 10% discount on over 700 boutiques and international brands from Farfetch.com. FARFETCH
5- Get up to 20% off grocery or food orders twice a month on the Talabat app. App Store or Google Play Store
6- Sharia compliant credit card with no profit added.
7- Exclusive offers and discounts through Warba Rewards Program
8- Ability to issue a supplementary card for any family member (ages 15+)
9- Free SMS for both Local and International transactions
10- Monthly card E-statement sent to your personal e-mail
11- Free card issuance and renewal when issued against deposit"
Cards,Cards Team,World Mastercard Required Documents,World Mastercard Required Documents:,"1- Civil ID
2- Account statements for the last 3 months (6 months for private sector employees and non-Kuwaitis)
3- Salary and salary continuation certificate
4- Authorized signatory and PIFSS certificates (private sector employees)
you can also view the terms and conditions from this link https://warbabank.blob.core.windows.net/files/Library/Assets/Gallery/TermsandConditionsFiles/NewMastercardForm/Mastercard%20Credit%20Card%20Application%20form%20A4%20(003).pdf"
Cards,Cards Team,Platinum Mastercard benefits,Platinum Mastercard benefits:,"1- Unlimited complimentary access to more than 25 airport lounges internationally.
2- Purchase protection against theft or accidental damage up to USD 5,000
3- Up to 30% discount on international roundtrip airfare from Cleartrip"
Cards,Cards Team,Platinum Mastercard Travel Benefits,Platinum Mastercard Travel Benefits:,"1- Unlimited, complimentary access to over 25 regional and international LoungeKey lounges. For more information download LoungeKey app or visit Our lounges (loungekey.com).
2- Enjoy up to 10% cashback with Booking.com. www.booking.com/mastercardmea
3- Enjoy 30% discount on any international roundtrip airfare from Cleartrip. cleartrip.com/mastercard
4- Enjoy up to 20% discount with Avis car rental. avisworld.com/mastercardmea
5- Enjoy up to 10% discount with RentalCar.com. Rentalcars.com
6- Get 20% off on 3 rides every month with Careem. Download Careem from the App Store or Google Play Store.
7- Easily apply and book visa appointments online through Fulfill Solutions. fulfillsolutions.com/mastercard
8- Sharia compliant credit card with no profit added.
9- Exclusive offers and discounts through Warba Rewards Program
10- Ability to issue a supplementary card for any family member (ages 15+)
11- Free SMS for both Local and International transactions
12- Monthly card E-statement sent to your personal e-mail
13- Free card issuance and renewal when issued against deposit."
Cards,Cards Team,Platinum Mastercard Required Documents,Platinum Mastercard Required Documents:,"1- Civil ID
2- Account statements for the last 3 months (6 months for private sector employees and non-Kuwaitis)
3- Salary and salary continuation certificate
4- Authorized signatory and PIFSS certificates (private sector employees)
you can also view the terms and conditions from this link https://warbabank.blob.core.windows.net/files/Library/Assets/Gallery/TermsandConditionsFiles/NewMastercardForm/Mastercard%20Credit%20Card%20Application%20form%20A4%20(003).pdf"
Cards,Cards Team,Visa Signature Travel Benefits,Visa Signature Travel Benefits:,"1- The LoungeKey service, which opens the doors to more than 1,000 luxurious airport lounges around the world. For more information download the LoungeKey app or visit http://www.loungekey.com/visainfinitemena
2- Travel insurance instantly for you, your spouse, and your children with coverage up to USD 500,000. For more information visit Visa CEMEA. Home Page (cardholderbenefitsonline.com)
3- Purchase protection service for stolen or damaged purchases.
4- Extend warranty service on purchases up to one year.
5- Save up to 12% discount over 985,000+ hotels & vacation rentals worldwide with Agoda. http://www.agoda.com/visamena
6- VLHC is composed of over 900 intriguing and prestigious properties. www.visaluxuryhotels.com
7- Get 20% discount for 3 rides monthly with Careem. http://careem.me/superapp_visa
8- Special discounts at 200 airport restaurants globally with Dragon Pass through Dine & Fly app. App Store or Google Play
9- 30% off on YQ Meet & Assist services at over 450 destinations globally. https://cemea.yqnowgroup.com/
10- Sharia compliant credit card with no profit added.
11- Exclusive offers and discounts through Warba Rewards Program
12- Ability to issue a supplementary card for any family member (ages 15+)
13- Free SMS for both Local and International transactions
14- Monthly card E-statement sent to your personal e-mail
15- Free card issuance and renewal when issued against deposit."
Cards,Cards Team,Visa Signature Required Documents,Visa Signature Required Documents:,"1- Civil ID
2- Account statements for the last 3 months (6 months for private sector employees and non-Kuwaitis)
3- Salary and salary continuation certificate
4- Authorized signatory and PIFSS certificates (private sector employees)
you can also view the terms and conditions from this link https://warbabank.blob.core.windows.net/files/Library/Assets/Gallery/TermsandConditionsFiles/NewVisaForm/VISA%20Credit%20Card%20Application%20form%20A4%20(006).pdf"
Cards,Cards Team,VISA Platinum Main Benefits,VISA Platinum Main Benefits:,"1- Complimentary Airport Lounge Access with your Platinum Credit card at 25 lounges globally. www.loungekey.com
2- Purchase protection service for stolen or damaged purchases.
3- Extend warranty service on purchases up to one year.
4- 50% off Vox Cinemas Tickets purchased online or via the app. uae.voxcinemas.com
5- Save up to 12% discount over 985,000+ hotels & vacation rentals worldwide with Agoda. www.agoda.com/visamena
6- VLHC is composed of over 900 intriguing and prestigious properties. www.visaluxuryhotels.com
7- Special discounts at 200 airport restaurants globally with Dragon Pass through Dine & Fly app. App Store or Google Play
8- 30% off on YQ Meet & Assist services at over 450 destinations globally. cemea.yqnowgroup.com
9- Sharia compliant credit card with no profit added.
10- Exclusive offers and discounts through Warba Rewards Program
11- Ability to issue a supplementary card for any family member (ages 15+)
12- Free SMS for both Local and International transactions
13- Monthly card E-statement sent to your personal e-mail
14- Free card issuance and renewal when issued against deposit."
Cards,Cards Team,VISA Platinum Required Documents,VISA Platinum Required Documents:,"1- Civil ID
2- Account statements for the last 3 months (6 months for private sector employees and non-Kuwaitis)
3- Salary and salary continuation certificate
4- Authorized signatory and PIFSS certificates (private sectors employees)"
Cards,Cards Team,VISA Prepaid card Top benefits,VISA Prepaid card Top benefits:,"1- Ability to control expenses
2- Top up the card by transferring via the Warba App, direct deposit or redeeming the “Pocket” program points
3- The ability to retrieve the amount deposited in the card by transfer or cash withdrawal from Warba Bank devices without any added fees
4- Special offers and discounts on selected hotels and entertainment venues
5- Free subscription to My Box to get a local address in the United States, United Kingdom and United Arab Emirates
6- Superior security that enables you to shop online and through POS
7- The ability to change your card pin number through ATMs, phone service 1825555, Warba Bank application App Store or Google Play 
8- Free SMS service locally and globally with no minimum usage
9- Free monthly e-statement receipt service in your e-mail"
Cards,Cards Team, Recharge  VISA Prepaid card,Ways to recharge your VISA Prepaid card:,"1- Warba Bank branches
2- Warba Mobile Application
3- Warba Online"
Cards,Cards Team,Apply for prepaid card,Required Documents to apply for prepaid card:,"1- Civil ID
2- To access the full list of benefits, instructions, and offers for Visa Platinum Download the “VISA Explore” application (iOS or Android) Or visit: VISA Platinum
you can also view the terms and conditions from this link https://warbabank.blob.core.windows.net/files/Library/Assets/Gallery/TermsandConditionsFiles/prepaidcard/english/Prepaid%20Visa%20Card%20Application%20form%20A4.pdf"
Cards,Cards Team,Apply for credit card:,To get a credit card or apply for credit card:,You can apply for any of the Warba Bank credit cards by applying through the Warba Bank website or you can visit the nearest branch to assist.
Cards,Cards Team,Cards general questions,"If my salary is 1000 KD, the best card for me would be:",Mastercard world is the best cash back world as it provides the best cashback rate and other benefits.
Cards,Cards Team,Credit Cards,The deduction date for the credit card:,"The credit card deduction date will be based on your salary disbursement date. For example: If you’re an employee in PACI, and your salary was disbursed on 24th of the month, your credit card will be deducted on the same day."
Cards,Cards Team,Cards Closing,To close the credit card:,You can close your credit card by visiting your nearest Warba bank branch.
Cards,Cards Team,Cards general questions,Do I have to pay all the due amount to close the card:,You are required to pay all the due amounts on your card in order to close the card.
Cards,Cards Team,Cards general questions,Taking a clearance certificate without closing my card:,You will need to close your card to get a clearance certificate.
Cards,Cards Team,Cards general questions,I don't like the feature of my card (visa signature). How can I change it? And what's the recommended card for me in this case:,"To assist you with the best replacement for your card, you need to visit the nearest Warba Bank branch."
Cards,Cards Team,Credit Card Limits,Increase the limit of my card:,You can visit the nearest Warba Bank branch to assist you.
Cards,Cards Team,Credit Card Limits,Decrease the limit on my card:,You can visit the nearest Warba Bank branch to assist you with this service.
Cards,Cards Team,Cards general questions,Delivery of Lost card:,"Upon request for a lost card, the delivery courier will contact you for delivery timings."
Cards,Cards Team,Credit Card General Questions,To know the due amount for my credit card:,"1- Log in to your Warba App,
2- Click on the credit card on Warba App that you would like to know the due amount of.
3- You will find the due amounts below the card details."
Cards,Cards Team,Credit Cards,Re-activate my card without coming to the branch:,"If you’re late for the due payment amount for your card, you will have to visit the nearest Warba Bank branch in order to re-activate your card."
Cards,Cards Team,Credit Card General Questions,Opening a visa card for 15-year-olds:,You can apply for a Visa prepaid card if you are 15 years old.
Cards,Cards Team,Cards general questions,Minimum age of opening a supplementary account:,The minimum age for opening a supplementary account is 14 years old. 
Cards,Cards Team,Credit Card Replacement Fees,The credit card replacement fees:,The replacement fees for credit cards are 5 KD for prepaid cards and 15 KD for credit card replacement.
Cards,Procedures Team, Commissions and fees,Card Fees and Commissions,"•	Subscription or renewal of the Visa/ MasterCard (regular - classic) in installments and not in installments fee is 50 KD.
•	Subscription or renewal of the Gold Visa/ MasterCard Card, both in installments and not in installments fee is 80 KD
•	Subscription or renewal of the Platinum Visa/ MasterCard Card, both in installments and not in installments fee is 150 KD
•	Subscription or renewal of the basic, installment and non-installment MasterCard Card fee is 100 KD
•	Subscription or renewal of the Visa Signature Card, both in installments and not in Installments fee is 150 KD
•	Issuance/ renewal commission of a refillable prepaid visa card fee is 5 KD
•	The commission for issuing a non-refillable prepaid visa card fee is 5 KD
•	Cash withdrawal commission - (credit cards - all kinds) - (installments and non- installments) - (locally/ Gulf /international) fee is 6 KD
•	Cash withdrawal commission - (ATM cards) - (of all kinds) - (locally - other banks)	 fee is 100 fils
•	Cash withdrawal commission - (ATM cards) - (all kinds) - (Gulf) fee is 1 KD
•	Cash withdrawal commission - (ATM cards) - (all kinds) - (international) fee is 2.5%
•	Balance inquiry/ inability to withdraw due to insufficient balance (through ATMs of a bank/ other banks) (locally/ Gulf/ internationally) - (ATM cards) - (of all kinds) fee is 50 fils local, 275 fils Gulf, and 100 fils Int’l
•	Settlement fees on purchases for the customer outside Kuwait (credit and prepaid cards - all types) on all currencies (Kuwaiti dinars and foreign currencies) fee is 2.5%
•	Settlement fees on purchases/ cash withdrawals for the customer outside Kuwait (automated exchange cards - all kinds) on all currencies (Kuwaiti dinar and foreign currencies) fee is 2.5%
•	Claims fees, audits of purchases and cash withdrawals (automated exchange - credit cards - prepaid) of all kinds fee is 5 KD
•	Amending the credit limit (validity limits) fee is 10 KD based on the customer’s request: 
A-	Temporary credit limit  
B-	Permanent credit limit (according to a credit study)	
•	Authorization/ confirmation of a purchase made via bank cards (by telex) fee is 3 KD
•	Fees for reporting loss/ waste/ theft (Visa/ MasterCard) - (of all kinds) fee is 5 KD
•	Commission for sending the card (automated exchange - credit cards - prepaid) of all kinds to the customer by express mail abroad fee is 15 KD
•	Subscription or renewal of the additional Visa/ MasterCard (Classic), both in installments and not in installments fee is 25 KD
•	Subscription or renewal of the additional Visa/ MasterCard (Gold), in installments and not in installments fee is 40 KD
•	Subscription or renewal of the additional Visa/ MasterCard (Platinum) in installments and not in installments fee is 100 KD
•	Subscription or renewal of the additional World MasterCard card, in installments and not in Installments fee is 100 KD
•	Subscription or renewal of the Visa Signature Supplementary Card, both in installments and not in installments fee is 150 KD
•	Re-issue/replace Visa/ Master credit cards for non-receipt/ lost/ stolen fee is 15 KD
•	Re-issue/replace (automated teller machine) (all types) of a damaged card fee is 5 KD
•	Re-issue/replace (prepaid) (all types) of a damaged card	fee is 5 KD
•	Suspension of the card by the bank for misuse (credit cards) of all kinds	5 KD
•	Extracting a photocopy/ copy/ original notice/ operational document/ E&T (hotels/ airlines...etc) done through (credit cards) of all types fee is 10 KD
•	Issuance/renewal of the ATM card (all types) fee is 5 KD
•	Issuance/re-issue of a new password/replacement of lost (automated teller machine - credit cards - prepaid) of all kinds fee is 5 KD
•	Foreign Currency Withdrawal Fees: The transfer purchase rate is applied, and then sold in cash, in addition to settlement fees
•	Issuing a prepaid card substitute/ stolen (all types) fee is 5 KD
•	Commission for transferring the balance of a prepaid card (all types) to the customer’s account fee is 1 KD
•	Reprinting an account statement (credit and prepaid cards) of all kinds - (for one year/ per page) fee is 1 KD
•	Subscription or renewal of the World Elite MasterCard primary card, both in installments and in installments fee is 240 KD
•	Subscription or renewal of the additional World Elite MasterCard, both in installments and in installments fee is 240 KD
•	Issuing / Renewal fee of the multi-currency prepaid card that is top-up capable fee is 5 KD"
General Information,Procedures Team, Commissions and fees,Other Fees and Commissions:,"You can access the fees and commissions for Cheques, Safety Deposit Box, standing orders and other fees directly from Warba Bank's website by clicking this link: https://warbabank.blob.core.windows.net/files/Library/Assets/Gallery/BankingTariffs/Fees%20&%20Commissions%2070x100%20Poster%20ENG%20APR%202023.pdf"
Digital Services,Digital Factory,Online Transfers,Transfers options through Warba Online:,"Warba Bank offers the following transfer options through Warba Online:
Transfers between your own accounts
Transfers to a Warba Bank account
Domestic and international telex transfers
Transfers to charitable committees
Transfers to credit or prepaid cards
Express Transfers
Transfers for payment of mobile bills and internet cards"
Accounts,P&S,Required documents for Companies,Documents Required for Companies And Establishments Account Openings:,"For opening an account for establishments, the following documents are required:
Commercial registration certificate, a letter from the Public Authority for Civil Information indicating the civil number of the establishment, the original civil ID card of each authorized signatory.
For Companies The notarized memorandum of association, commercial registration certificate, a letter from the Public Authority for Civil Information indicating the civil number of the company, the original civil ID card of each authorized signatory based on the memorandum of associations as amended."
Segments,P&S,Sunbula Kids,Sunbula Kids segment eligibility criteria and Benefits:,"This segment is designed for children from day 1 up to 15 years old. With this segment, customers can enjoy the following benefits for Sunbula Kids segment:
Instant issuance of an ATM card with a unique design.
An ATM daily cash withdrawal limit of up to KD 2,000 from ATMs.
Investment profits as per the annual rate of return.
Cash deposit via Warba Bank ATM machines.
Domestic and international shopping across POS devices.
Free domestic and international SMS service.
Free Warba Online service from the App Store or Google Play."
Segments,P&S,Bloom,Bloom segment eligibility criteria and Benefits:,"the Bloom segment, which is designed for individuals from 15 to 25 years old. The benefits of the bloom segment include:
5 winners in the social allowance monthly draw, with the 1st winner receiving KD 500, the 2nd winner receiving KD 200, and the 3rd to 5th winners receiving KD 100 each.
All-Star Rewards for high achievers, who earn a GPA of 3.5 and above out of 4.0 upon semester completion, with Warba Pocket points equivalent to KD 50.
Free issuance and renewal of a VISA prepaid card with a monthly cashback of 3%.
"
Segments,P&S,Al Safwa,Al Safwa segment eligibility criteria and Benefits:,"For Al Safwa segment, the eligibility criteria for Al Safwa segment are a salary range of KD 1,500 to KD 2,499 OR a deposit range of KD 30,000 to KD 149,999. And the benefits of Al Safwa segment include:
A dedicated Relationship Manager.
An ATM daily cash withdrawal limit of up to KD 3,000.
Free issuance of a World Mastercard credit card for the first year.
Free issuance of a VISA Prepaid Card for the first year.
2 free Warba Concierge services per year.
A special rate on personal finance transactions.
Priority Call Center response."
Segments,P&S,Al Safwa Plus,Al Safwa Plus segment eligibility criteria and Benefits:,"For customers in the Al Safwa Plus segment, the eligibility criteria for this segment are a salary range of KD 2500 and above, OR a deposit range of KD 150,000 to KD 349,999. And the benefits of Al Safwa Plus segment include:
A dedicated Relationship Manager.
An ATM daily cash withdrawal limit of up to KD 3,000.
Free issuance of a World Mastercard credit card for the first year.
Free issuance of a VISA Prepaid Card for the first year.
4 free Warba Concierge services per year.
A special rate on personal finance transactions.
Up to 12 months grace period on personal finance.
Priority Call Center response."
Segments,P&S,AlMassy,AlMassy segment eligibility criteria and Benefits:,"For customers in the AlMassy segment, the eligibility criteria for this segment is for customers with a deposit range of KD 350,000 and above. The benefits of AlMassy segment include:
Free main and supplementary World Mastercard or VISA Signature credit card.
A free Cheque book.
ATM daily cash withdrawal limit up to KD 3,000.
Real estate financing facilities.
Free VISA prepaid card.
Preferred rates on investment deposits.
Personal financing up to KD 250,000.
Free Warba Concierge services.
Priority Call Center response."
Accounts,P&S,Current,Current Account,"The current account is a Sharia-compliant account that is available for both individuals and corporations. The benefits of this account include the ability to open the account in KWD or any major foreign currencies (Euro – USD - GBP), chequebook issuance, Up to KD 2,000 cash withdrawal from ATMs, and a free VISA prepaid card for the first year. The terms of this account include a minimum amount of KD 1,000 to open the account."
Accounts,P&S,Salary Account,Salary Account,"The salary account is an account that is suitable for private and public sector employees. The benefits of this account include an instant issuance of an ATM card with a unique design, up to KD 3,000 cash withdrawal from ATMs, a free VISA prepaid card for the first year, and a free credit card for the first year. The terms of this account include that it is for individuals only, the account currency is KWD only, and a minimum salary amount of KD 500 is required to open the account."
Accounts,P&S,Investment Savings Account,Investment Savings Account:,"The investment savings account is a Sharia-compliant account based on the Mudarabah principle. The benefits of this account include quarterly distributed returns, up to KD 2,000 cash withdrawal from ATMs, and the ability to transfer salary to this account. Additionally, a free VISA prepaid card is provided for the first year. The terms of this account include that profits are calculated based on the account's lowest monthly balance and the account currency is KWD only."
Accounts,P&S,Super Savings,Super Savings Account:,"The super savings account is based on the Wakala investment principle and provides expected returns reaching up to 0.75% as the bank invests your funds in Sharia-compliant portfolios. The benefits of this account include the funds being invested under the Wakala investment principle, monthly distributed returns, up to KD 2,000 cash withdrawal from ATMs, and the ability to transfer salary to this account. The terms of this account include that it is for individuals only, the account can be opened in KWD or any major foreign currencies (USD – GBP - EURO), and a minimum balance of KD 1,000 is required to open the account."
Fixed Deposit,P&S,KD Wakala Fixed Deposit,KD Wakala Fixed Deposit:,"The KD Wakala fixed deposit is a Sharia-compliant investment structure that is available for corporations only and is based on the Wakala investment principle. Returns for this investment range from 1 to 60 months. The benefits of this account include being based on the Wakala investment principle, being opened in KWD only, and a minimum limit of KD 3,000 to open the deposit. Returns are earned at maturity from 1 month to 18 months and returns can be earned monthly or yearly as per the customer's choice from 18 months to 60 months. The breakage rule for this account states that if the deposit is cancelled before completing one month, returns are not calculated, but if it is cancelled after completing one month, returns are calculated based on the call account's lowest profit margin."
Fixed Deposit,P&S,Sunbula Fixed Deposit,Sunbula Fixed Deposit in Warba Bank:,"Warba Bank offers a product called Sunbula Fixed Deposit, which is designed for individuals only. The deposit provides expected returns and gives customers the opportunity to participate in weekly and mega Sunbula draws. To open the deposit, customers need a minimum amount of KD 5,000, and the tenures range from 1-12, 24, 36, 48, and 60 months."
Fixed Deposit,P&S,Sunbula Flexible Deposit,Sunbula Flexible Deposit in Warba Bank:,"Sunbula Flexible Deposit is another product offered by Warba Bank, designed for individuals only. This deposit is based on the Wakala investment principle, has a minimum limit of KD 20,000, and has an investment period of 12 months. Returns are earned on a quarterly basis, and customers have the chance to participate in weekly and quarterly draws for every KD 1,000 in their deposit. Additionally, customers have the ability to withdraw KD 100 or more during the investment period and to deposit KD 100 or more during the investment period. If the deposit is cancelled before completing 12 months, returns are calculated based on the profit margin of the Sunbula Savings Account. If the deposit is cancelled after completing 12 months, returns are calculated based on the premium savings account profit margin."
Fixed Deposit,P&S,Foreign Currency Fixed Deposit,Foreign Currency (FC) Wakala Fixed Deposit in Warba Bank:,"Foreign Currency (FC) Wakala Fixed Deposit is another investment opportunity offered by Warba Bank, designed for both individuals and corporates. This deposit is based on the Wakala investment principle and allows customers to invest in major foreign currencies such as USD, GBP, and Euros. The minimum limit for opening the deposit is Euros 10,000, USD 10,000, or GBP 5,000, and returns are earned at maturity from 1 month to 18 months and monthly or yearly as per customer choice from 18 months to 60 months."
Cards,Cards Team,Credit Cards,Mastercard and Visa Creditcards:,"For information on the benefits of Mastercard creditcards, customers are advised to visit priceless.com. For information on the benefits of Visa creditcards, customers are advised to visit visamiddleeast.com."
Digital Services,Digital Factory,Pocket ,Pocket Product,"Pocket is a fully digital loyalty program offered by Warba Bank, based on earning points and redeeming them through Warba Bank’s application services or purchasing select items from partnering merchants."
Digital Services,Digital Factory,Pocket ,Earning Points with Pocket:,"Paying their mobile bill using Warba Mobile App.
Using their Credit Card and getting Points instead of Cashback.
Inviting friends to Warba using the Mobile App.
Transferring their salary and getting points instead of cash."
Digital Services,Digital Factory,Pocket ,Redeeming Points from Pocket,"Customers can redeem their points from Pocket in several ways:
Through Warba Bank application services, including buying digital vouchers, topping up their Credit Cards, paying their mobile bills, transferring points to friends, and transferring points to their Al Sunbula Account.
Through the Entertainer, where customers can enjoy exclusive discounts and unique offers from over 700 merchants across Kuwait, Dubai, Saudi Arabia, Qatar, and Oman.
Through purchasing products from Warba Bank's partners.
Note: Pocket points will expire after one year from the calendar month they were earned."
General Information,Digital Factory,KYC,KYC (Know Your Customer):,"KYC is a mandatory process in accordance with the Central Bank of Kuwait regulation, which requires banks to obtain information about the identity, personal information, financial transactions of customers periodically. The purpose of this process is to ensure the safety and security of customer information and to provide them with uninterrupted financial services. Warba Bank allows customers to update their KYC information through the bank's application in just a few simple steps."
